Feature Name,Score,Code Description
1gz31caep,-0.200707657,"INT: {'Ventilation, respiratory system NEC using invasive per orifice approach by endotracheal intubation m', 'Ventilation, respiratory system NEC invasive per orifice approach by (endotracheal) intubation manua'}"
h907,-0.200437937,"DIAG: {'Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contral'}"
k574,-0.2002141404,DIAG: {'Diverticular disease of both small and large intestine with perforation and abscess'}
f629,-0.1999712969,"DIAG: {'Enduring personality change, unspecified'}"
z048,-0.1997441489,DIAG: {'Examination and observation for other specified reasons'}
i613,-0.1996235523,DIAG: {'Intracerebral haemorrhage in brain stem'}
a021,-0.1991202563,DIAG: {'Salmonella sepsis'}
c5049,-0.1985362485,"DIAG: {'Malignant neoplasm of upper-outer quadrant of breast, unspecified side'}"
g464,-0.1984301823,DIAG: {'Cerebellar stroke syndrome'}
i099,-0.1981803088,"DIAG: {'Rheumatic heart disease, unspecified'}"
1sq74lanw,-0.197112113,"INT: {'Fixation, pelvis using fixation device alone using screw, screw with plate (with/without wire, pin o'}"
k716,-0.1970832625,"DIAG: {'Toxic liver disease with hepatitis, not elsewhere classified'}"
g430,-0.1968674287,DIAG: {'Migraine without aura [common migraine]'}
b022,-0.1964251491,"DIAG: {'Zoster with other nervous system involvement', 'Zoster without complication'}"
j9610,-0.1963509914,"DIAG: {'Chronic respiratory failure, type I [hypoxic]'}"
1nf54hats,-0.1959310599,"INT: {'Management of internal device, stomach of percutaneously inserted gastric tube [PEG]'}"
1vd58laxxf,-0.1957218653,"INT: {'Procurement, muscles of hip and thigh of free flap using open approach'}"
s682,-0.1950016716,DIAG: {'Traumatic amputation of two or more fingers alone (complete)(partial)'}
g9600,-0.1949249624,DIAG: {'Cerebrospinal fluid rhinorrhea (leak)'}
g373,-0.1947005447,DIAG: {'Acute transverse myelitis in demyelinating disease of central nervous system'}
g908,-0.1944786203,DIAG: {'Other disorders of autonomic nervous system'}
m080,-0.1939066477,DIAG: {'Juvenile rheumatoid arthritis'}
m6266,-0.1938841373,"DIAG: {'Muscle strain, lower leg'}"
c699,-0.1936479071,DIAG: {'Malignant neoplasm of eye unspecified'}
t8401,-0.1933603601,DIAG: {'Mechanical complication of elbow prosthesis'}
t3121,-0.1933180212,DIAG: {'Burns involving 20-29% of body surface with less than 10% third degree burns'}
t3123,-0.1930420563,DIAG: {'Burns involving 20-29% of body surface with 20-29% third degree burns'}
z8048,-0.1927172059,DIAG: {'Family history of malignant neoplasm of other genital organs'}
j990,-0.1926395436,DIAG: {'Rheumatoid lung disease'}
q549,-0.1923164174,"DIAG: {'Hypospadias, unspecified'}"
m1251,-0.1923026488,"DIAG: {'Traumatic arthropathy, shoulder region'}"
n423,-0.192177977,DIAG: {'Dysplasia of prostate'}
1nm87wj,-0.1921560625,"INT: {'Excision partial, large intestine open approach special excisional technique (without anastomosis)', 'Excision partial, large intestine open approach special excisional (segmental) technique without ana'}"
s0141,-0.1919701377,"DIAG: {'Open wound of cheek and temporomandibular area, complicated'}"
s152,-0.1915388494,DIAG: {'Injury of external jugular vein'}
g530,0.1914626761,DIAG: {'Postzoster neuralgia'}
l239,-0.1909559833,"DIAG: {'Allergic contact dermatitis, unspecified cause'}"
w91,-0.1907713696,DIAG: {'Exposure to unspecified type of radiation'}
z38011,-0.1905935552,"DIAG: {'Singleton born in hospital, product of assisted reproductive technology (ART), delivered by caesarea'}"
1va53lasln,-0.1899537585,"INT: {'Implantation of internal device, hip joint open approach (direct lateral, posterolateral, posterior,', 'Implantation of internal device, hip joint open approach using synthetic material (e.g. bone paste, '}"
c254,-0.1891251534,DIAG: {'Malignant neoplasm of endocrine pancreas'}
g210,-0.1887016505,DIAG: {'Malignant neuroleptic syndrome'}
1yc87laxxe,-0.1886365392,"INT: {'Excision partial, skin of ear open [excisional] approach using local flap'}"
2ub70la,-0.1880228282,"INT: {'Inspection, wrist joint using open approach'}"
m148,-0.1876215556,DIAG: {'Arthropathies in other specified diseases classified elsewhere'}
s31800,-0.1873474322,"DIAG: {'Open wound of other and unspecified parts of abdomen, uncomplicated'}"
k0769,-0.1872986093,"DIAG: {'Temporomandibular joint disorder, unspecified'}"
1uc75lanva,-0.1865992185,"INT: {'Fusion, distal radioulnar joint and carpal joints and bones with bone autograft using pin, nail'}"
c901,-0.1865558496,DIAG: {'Plasma cell leukaemia'}
m888,-0.1864968998,"DIAG: {""Paget's disease of other bones""}"
t3120,-0.1863228722,DIAG: {'Burns involving 20-29% of body surface with 0% or unspecified third degree burns'}
k414,-0.1861305756,"DIAG: {'Unilateral or unspecified femoral hernia, with gangrene'}"
s72191,-0.1852877559,"DIAG: {'Fracture of femur, part unspecified, open', 'Unspecified trochanteric fracture, open'}"
1uk93la,-0.1850900943,"INT: {'Amputation, other interphalangeal joints of hand using simple apposition technique (for closure]'}"
1fm89vw,-0.1841612274,"INT: {'Excision total, parotid gland using open approach with preservation of facial nerve technique'}"
1uc75lanwa,-0.1840088751,"INT: {'Fusion, distal radioulnar joint and carpal joints and bones with bone autograft using plate, screw'}"
c608,-0.1832648975,DIAG: {'Overlapping malignant lesion of penis'}
m2537,-0.1831300234,"DIAG: {'Other instability of joint, ankle and foot'}"
1cj56la,-0.1829589319,"INT: {'Removal of foreign body, anterior chamber (of eye) using open approach'}"
z749,-0.1828622713,"DIAG: {'Problem related to care-provider dependency, unspecified'}"
a370,-0.1824966069,DIAG: {'Whooping cough due to Bordetella pertussis'}
d260,-0.1824270203,DIAG: {'Other benign neoplasm of cervix uteri'}
e1036,-0.1818869283,DIAG: {'Type 1 diabetes mellitus with advanced ophthalmic disease'}
m214,-0.1813700892,DIAG: {'Flat foot [pes planus] (acquired)'}
s701,-0.1812804098,DIAG: {'Contusion of thigh'}
h690,-0.1812429395,DIAG: {'Patulous Eustachian tube'}
5ac30yai2,-0.1807958263,"INT: {'Induction of labour using administration of oxytocic agent, route NEC', 'Induction of labour, using administration of uterotonic agent route NEC'}"
g528,-0.1806059499,DIAG: {'Disorders of other specified cranial nerves'}
m533,-0.180389828,"DIAG: {'Sacrococcygeal disorders, not elsewhere classified'}"
1vg80da,-0.1803245852,"INT: {'Repair, knee joint endoscopic [arthroscopic] approach no tissue used (for repair) joint repair witho', 'Repair, knee joint open approach no tissue used (for repair) joint repair without meniscus involveme'}"
t466,-0.1802590366,DIAG: {'Poisoning by antihyperlipidaemic and antiarteriosclerotic drugs'}
m200,-0.1797224971,DIAG: {'Deformity of finger(s)'}
k6421,-0.1796184168,"DIAG: {'Third degree haemorrhoids, complicated'}"
1va87wj,-0.1792982056,"INT: {'Excision partial, hip joint open approach synovectomy or ganglionectomy alone'}"
OBS Delivered,-0.1789679138,N/A
k0714,-0.1789498789,DIAG: {'Maxillary retrognathism'}
1jx80la,-0.1788421054,"INT: {'Repair, other vessels of head, neck and spine NEC open approach using direct repair (without tissue)'}"
v939,-0.1786402379,"DIAG: {'Accident on board watercraft without accident to watercraft, not causing drowning and submersion, un'}"
m0084,0.1784362865,"DIAG: {'Arthritis and polyarthritis due to other specified bacterial agents, hand'}"
